daynight_N,lat,lon,fire_weather_index,pressure_mean,wind_direction_mean,wind_direction_std,solar_radiation_mean,dewpoint_mean,cloud_cover_mean,evapotranspiration_total,humidity_min,temp_mean,temp_range,wind_speed_max,frp
0.0,-37.44814,-72.87222,18.34583333333333,979.5958333333332,142.79166666666666,72.45572163205762,348.5,5.0375000000000005,0.0,7.39,10.0,25.4375,17.200000000000003,13.7,8.78
0.0,5.95122,29.3284,16.177979166666667,955.6166666666664,58.91666666666666,93.34028991931736,244.125,9.325,0.9166666666666666,6.9,19.0,28.9,12.9,17.0,3.9
0.0,-14.21574,25.48262,25.85833333333333,888.7791666666667,93.29166666666669,27.085480684102485,282.375,1.5375,29.125,7.439999999999999,10.0,26.58333333333333,17.2,16.0,8.93
0.0,9.34019,18.09399,25.294401041666667,965.0875,231.29166666666663,101.33257092640824,293.625,-2.6416666666666666,77.54166666666667,6.970000000000001,7.0,30.7375,17.5,11.4,5.32
0.0,6.51699,17.91523,14.957173859126982,955.2458333333334,156.91666666666666,147.38213275548551,254.5833333333333,2.7125,9.375,6.28,13.0,26.27083333333333,16.5,12.6,5.56
0.0,-2.78455,-52.47788,6.0657321859903375,991.3833333333332,60.833333333333336,10.135197197007182,263.8333333333333,22.200000000000003,85.20833333333333,5.54,45.0,29.191666666666663,9.700000000000005,11.9,5.39
0.0,-14.47941,26.50375,10.13861111111111,892.1458333333334,88.75,6.166103577895309,275.8333333333333,8.5875,60.04166666666666,5.8100000000000005,24.0,21.53333333333333,15.499999999999998,19.5,4.88
0.0,13.19034,27.44536,28.334619140625,952.2458333333334,28.0,4.08248290463863,237.04166666666663,-1.0625,0.0,7.49,15.0,20.5875,12.3,24.6,21.07
0.0,-8.3462,120.49628,2.5050416666666666,978.3916666666668,112.41666666666669,76.56855134815831,303.375,21.641666666666666,48.333333333333336,5.289999999999999,59.0,25.475,10.6,13.4,7.51
0.0,-25.45832,-55.34687,2.404122023809524,991.0666666666666,72.875,40.65434837341101,163.33333333333334,16.3,4.333333333333333,2.48,62.0,19.325,10.4,10.3,7.87
0.0,-34.73597,117.20427,11.82880570023148,1004.9291666666668,173.16666666666666,161.16365043713245,293.7083333333333,9.591666666666669,69.83333333333333,6.19,23.0,21.929166666666664,14.2,17.3,162.76
0.0,-7.75965,-61.31276,2.5567201967592594,997.5916666666668,166.70833333333334,131.9467945697137,227.75,23.52083333333333,51.875,4.44,47.0,29.104166666666668,11.199999999999996,7.4,21.33
0.0,-17.93621,23.69989,12.746512896825395,912.1208333333332,92.66666666666669,25.03275631825007,215.0833333333333,-2.020833333333333,0.0,4.93,13.0,18.508333333333333,18.7,12.6,22.4
0.0,-17.24356,30.67224,17.04200412326389,854.2041666666668,82.25,15.00347182043765,285.2916666666667,4.870833333333334,0.0,6.119999999999999,15.0,20.204166666666666,16.0,18.3,4.14
0.0,3.30518,29.86034,11.764906944444446,912.6625,120.125,17.342895999995694,259.75,14.366666666666667,66.33333333333333,6.35,24.0,27.758333333333336,14.300000000000004,17.7,8.11
0.0,-14.33463,141.76105,8.156414473684212,1013.7541666666666,102.875,18.33328598478734,234.125,15.841666666666669,7.875,5.12,37.0,25.25,11.0,17.0,4.47
0.0,-12.13551,22.29793,11.619536533816426,900.4333333333334,126.33333333333331,14.593567837311827,241.5,5.9625,6.333333333333333,5.84,22.0,22.60833333333333,13.7,16.6,19.5
0.0,-17.79376,29.14617,13.725694444444445,918.7625,132.79166666666666,65.67913111399152,263.5,1.9791666666666667,0.0,5.99,13.0,24.58333333333333,17.4,11.2,23.77
0.0,-8.63757,-47.30959,6.886458333333334,975.2166666666668,122.125,33.80373808224962,246.7083333333333,13.141666666666666,69.33333333333333,5.32,28.0,26.58333333333333,14.5,11.6,37.31
0.0,-19.86245,21.66167,34.47749035493827,904.5041666666666,126.04166666666669,100.44670193966328,275.25,-0.8208333333333334,47.91666666666666,7.880000000000001,8.0,31.59583333333333,17.5,16.3,3.01
0.0,-23.75466,46.95636,3.828568007662835,933.7166666666668,63.25,14.151707788579206,303.125,17.462500000000002,80.625,4.66,57.0,20.33333333333333,7.700000000000003,16.8,20.72
0.0,-23.96173,-57.19421,21.71336206896552,994.25,134.0,131.2941989071363,236.41666666666663,17.537499999999998,18.95833333333333,8.56,28.0,32.291666666666664,13.199999999999996,29.7,24.45
0.0,-6.66994,-47.63404,2.359924269636016,976.9416666666666,182.875,139.23071754585385,210.8333333333333,21.17083333333333,95.20833333333331,3.8,57.0,25.604166666666668,9.0,15.8,4.78
0.0,-7.21526,15.39185,7.153951388888889,892.0666666666666,212.66666666666663,57.8011437795328,234.16666666666663,15.179166666666667,87.79166666666667,4.19,24.0,21.40833333333333,14.8,15.7,11.06
0.0,-10.10345,27.14301,11.355634920634923,918.5208333333334,154.79166666666666,19.82628551247616,237.75,5.779166666666666,29.791666666666668,5.8500000000000005,20.0,23.96666666666667,14.799999999999995,15.0,53.56
0.0,-13.48293,25.28976,33.86292613636363,881.6333333333332,95.41666666666669,21.01371906371856,266.2916666666667,0.3083333333333333,28.45833333333333,7.92,10.0,25.875,16.0,18.1,7.56
0.0,-6.56506,32.76393,12.721333333333334,893.0500000000001,118.125,8.785938102065899,253.3333333333333,7.237500000000001,0.0,5.96,24.0,21.933333333333334,12.9,19.0,8.02
0.0,-25.00338,27.24273,4.930335847701151,914.4083333333332,89.375,38.05895919491231,194.375,3.3625000000000003,10.583333333333334,3.35,28.0,12.5375,13.1,22.0,37.84
0.0,28.17781,-81.58934,4.989614583333333,1015.7666666666664,287.2916666666667,28.00220105436158,225.66666666666663,14.783333333333331,32.083333333333336,4.28,39.0,20.8625,14.8,20.8,10.13
0.0,-21.5963,132.43884,43.33249479166666,953.9958333333334,181.7083333333333,161.09662710276987,329.375,0.0125,0.0,9.55,9.0,29.6375,14.799999999999995,26.7,33.82
0.0,6.37876,37.19514,7.094882605820105,888.7666666666668,210.0833333333333,93.507092719691,263.9583333333333,7.383333333333333,34.875,5.49,20.0,24.40833333333333,14.5,15.7,20.12
0.0,8.82271,15.30984,27.745625,957.2791666666668,264.0,81.47238796058454,286.3333333333333,-2.2125,28.625,7.24,7.0,32.325,15.9,10.6,50.13
0.0,22.6521,98.86269,3.2513330078125,869.5,245.125,82.26396158099851,245.625,10.204166666666667,23.541666666666668,4.43,31.0,21.2875,9.5,13.4,4.4
0.0,-16.08275,-65.34274,15.860804738562097,983.4375,323.6666666666667,6.51067499487487,274.875,19.7875,99.79166666666669,8.209999999999999,33.0,33.61666666666667,7.899999999999999,23.8,14.38
0.0,19.12929,101.79178,4.274791666666665,971.4541666666664,204.625,55.65280204086763,210.75,17.533333333333335,10.583333333333334,4.57,32.0,28.05,12.2,12.0,4.57
1.0,-10.27937,-67.74555,5.455679102067182,989.3916666666668,313.0,88.7674865402117,198.0833333333333,20.1,23.541666666666668,4.640000000000001,42.0,28.85833333333333,11.1,10.1,1.61
0.0,53.12418,-115.73502,13.228223958333334,899.2125,131.45833333333334,9.995745622791508,297.0833333333333,0.7708333333333334,5.083333333333333,6.109999999999999,19.0,17.845833333333335,16.4,22.9,17.02
0.0,-11.05307,19.62852,7.555302979390681,870.15,126.41666666666669,9.402644427086576,265.9166666666667,9.2625,3.6666666666666665,5.5600000000000005,30.0,21.79583333333333,12.0,14.5,8.23
0.0,-18.03639,127.40103,85.40490740740739,963.8,97.375,19.43324578310753,338.6666666666667,-9.533333333333331,71.70833333333333,10.96,5.0,29.90833333333333,15.799999999999995,27.7,14.39
0.0,29.50858,75.69217,3.7015907622739017,989.2333333333336,244.7083333333333,116.8622690630109,181.41666666666663,15.137499999999998,8.291666666666666,3.64,42.0,22.47083333333333,12.2,14.3,4.19
0.0,-14.29715,16.05795,14.679756944444444,846.7125,127.16666666666669,101.62786144666345,285.5416666666667,-1.1166666666666665,0.0,6.24,11.0,22.766666666666666,19.700000000000003,14.3,3.97
0.0,-6.02019,32.19128,13.684704861111117,895.7583333333333,128.41666666666666,51.9085065818268,302.8333333333333,7.233333333333333,7.625,7.27,17.0,28.19166666666668,14.8,14.5,23.52
0.0,-13.97187,31.74303,12.186217105263156,915.0416666666666,115.25,36.26436496985252,231.875,4.191666666666666,0.0,5.4,18.0,20.475,14.1,19.0,4.22
0.0,-21.28204,-61.09621,19.208630642361108,985.2916666666666,230.375,161.53297199539995,325.9166666666667,17.679166666666664,10.791666666666666,8.82,23.0,33.19583333333333,12.4,17.7,48.51
1.0,-19.07587,23.63489,25.50779914529915,908.0666666666666,65.25,29.41831912261474,291.2916666666667,4.2,59.375,8.17,12.0,30.96666666666667,17.1,16.8,0.74
0.0,-8.97527,18.79382,10.63013980263158,895.5458333333332,120.375,12.902882429906892,239.0833333333333,5.650000000000001,16.333333333333332,5.43,18.0,23.9375,16.799999999999997,14.0,27.61
0.0,6.02195,11.5679,15.701687885802468,927.1041666666666,84.08333333333333,37.89559854242823,241.41666666666663,8.1,86.58333333333333,6.48,17.0,26.27083333333333,16.0,18.8,29.87
